#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
BS_382HZBG4	EUR		0.0001	0.0000	0.3643	0.0000	0.6356	-0.6047	0.5855	1.8943	7.7343	-1.2268	-1.6293	0.8812	-3.3436	4.9607	-0.7733
BS_38CSCAJ1	EUR		0.0000	0.0000	0.0197	0.0000	0.9803	1.5225	12.3619	3.9862	9.3660	-2.2275	-0.8246	0.7800	0.8305	3.3711	-1.2962
BS_38D5GXR1	EUR		0.0000	0.0000	0.0251	0.0000	0.9749	-0.0055	11.9269	1.1377	7.5803	-0.5780	-2.1651	1.2974	0.0326	2.4142	-1.3643
BS_39FV4VJR	EUR		0.0000	0.0000	0.0719	0.0000	0.9281	4.1132	10.2575	4.3240	9.2635	-0.2485	-5.3455	0.8598	-0.0833	3.1233	-2.3597
BS_3A55810M	EUR		0.0000	0.0000	0.0375	0.0000	0.9625	0.2511	12.0508	6.0698	6.6010	-2.8583	-1.1488	1.4071	-2.3874	4.9594	-2.7047
BS_3AERRZQT	EUR		0.0000	0.0000	0.0656	0.0000	0.9344	2.4369	11.8539	6.4838	7.1396	-2.1316	-1.7996	1.5545	0.6757	4.0227	0.8908
BS_3BC5EX6K	EUR		0.0000	0.0000	0.0131	0.0000	0.9869	-0.2427	12.0963	4.6539	10.5590	-1.5169	-2.5797	3.2617	-0.8704	4.9082	-1.4736
BS_3C702XH4	EUR		0.0000	0.0000	0.0821	0.0000	0.9179	3.3840	11.4143	5.6815	7.2754	-1.2907	-3.4481	0.8585	-0.2713	2.8570	-0.7910
BS_3CK0QVDX	AMR		0.0000	0.0112	0.9888	0.0000	0.0000	-0.0552	-8.2070	11.4328	-14.7497	-1.6749	-0.2625	1.4938	0.6345	2.7662	-0.8252
BS_3DHNFFV6	EUR		0.0000	0.0000	0.0337	0.0000	0.9663	3.0834	10.1653	3.1758	9.5986	-3.6216	-2.3150	1.8010	-1.4507	3.2734	-2.2668
BS_3DNSBVGH	AFR		0.0000	0.9981	0.0019	0.0000	0.0000	49.9817	-12.1345	3.3031	4.5044	-3.4886	-0.0277	2.3551	-2.2792	5.1529	-2.4630
BS_3E3VYSXT	EUR		0.0000	0.0000	0.0671	0.0000	0.9329	2.0682	8.4110	5.3993	9.0444	-3.2298	-1.3951	3.2785	-0.8383	2.4782	-2.2413
